WORTMANN FX 63-137
0.18 max tickness
0 Is supercritical
alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
11.0000	1.6008	0.0597	0.0526	-0.1333	0.3637	1.0000
11.2500	1.1995	0.1269	0.1196	-0.1467	0.3600	1.0000
11.5000	1.2252	0.1261	0.1190	-0.1447	0.3447	1.0000
11.7500	1.2495	0.1248	0.1178	-0.1425	0.3277	1.0000
12.0000	1.3390	0.1097	0.1030	-0.1341	0.3125	1.0000
12.2500	1.6469	0.0657	0.0581	-0.1218	0.2524	1.0000
12.5000	1.6534	0.0682	0.0606	-0.1202	0.2368	1.0000
12.7500	1.6741	0.0703	0.0626	-0.1193	0.2223	1.0000
13.0000	1.6510	0.0758	0.0685	-0.1174	0.2166	1.0000
13.2500	1.6757	0.0779	0.0706	-0.1169	0.2071	1.0000
13.5000	1.6421	0.0846	0.0777	-0.1156	0.2045	1.0000
13.7500	1.6031	0.0926	0.0861	-0.1155	0.2028	1.0000
14.0000	1.5217	0.1072	0.1011	-0.1189	0.2045	1.0000
14.2500	1.2220	0.1785	0.1721	-0.1600	0.2184	1.0000
