Begin of Aerodynamic analysis 102 report file
Incidence	Lift	Drag	Efficiency
-1.2391837689159739E-01	-7.2286086320087373E-01	+9.5393557031695789E-02	-7.5776696633787699E+00
-1.2217304763960306E-01	-7.1046775296584330E-01	+9.2416094062806931E-02	-7.6877059149784239E+00
-1.2042771838760874E-01	-6.9807464273081232E-01	+8.9488256951306452E-02	-7.8007401922093322E+00
-1.1868238913561441E-01	-6.8568153249578234E-01	+8.6610025955226558E-02	-7.9168840435430479E+00
-1.1693705988362008E-01	-6.7328842226075181E-01	+8.3781381891826781E-02	-8.0362534856498229E+00
-1.1519173063162574E-01	-6.6089531202572105E-01	+8.1002306136476507E-02	-8.1589690904875418E+00
-1.1344640137963141E-01	-6.4850220179069074E-01	+7.8272780621559401E-02	-8.2851560483858382E+00
-1.1170107212763708E-01	-6.3610909155566042E-01	+7.5592787835399133E-02	-8.4149441999780130E+00
-1.0995574287564275E-01	-6.2371598132062989E-01	+7.2962310821206688E-02	-8.5484680282267771E+00
-1.0821041362364843E-01	-6.1132287108559924E-01	+7.0381333176062183E-02	-8.6858665998318987E+00
-1.0646508437165410E-01	-5.9892976085056915E-01	+6.7849839049960087E-02	-8.8272834429210256E+00
-1.0471975511965977E-01	-5.8653665061553806E-01	+6.5367813144843384E-02	-8.9728663450294377E+00
-1.0297442586766543E-01	-5.7414354038050719E-01	+6.2935240713635390E-02	-9.1227670518167212E+00
-1.0122909661567110E-01	-5.6175043014547754E-01	+6.0552107559291884E-02	-9.2771408426274569E+00
-9.9483767363676770E-02	-5.4935731991044678E-01	+5.8218400033880326E-02	-9.4361459536975794E+00
-9.7738438111682452E-02	-5.3696420967541614E-01	+5.5934105037745284E-02	-9.5999428132990356E+00
-9.5993108859688120E-02	-5.2457109944038582E-01	+5.3699210018698935E-02	-9.7686930451625216E+00
-9.4247779607693788E-02	-5.1217798920535507E-01	+5.1513702971163068E-02	-9.9425581867424278E+00
-9.2502450355699456E-02	-4.9978487897032453E-01	+4.9377572435331453E-02	-1.0121698056843115E+01
-9.0757121103705124E-02	-4.8739176873529405E-01	+4.7290807496444397E-02	-1.0306268692323323E+01
-8.9011791851710792E-02	-4.7499865850026379E-01	+4.5253397784117244E-02	-1.0496419755401789E+01
-8.7266462599716474E-02	-4.6260554826523337E-01	+4.3265333471577239E-02	-1.0692291290650466E+01
-8.5521133347722142E-02	-4.5021243803020261E-01	+4.1326605275007075E-02	-1.0894009682969914E+01
-8.3775804095727810E-02	-4.3781932779517235E-01	+3.9437204453019542E-02	-1.1101682633634299E+01
-8.2030474843733478E-02	-4.2542621756014193E-01	+3.7597122806018200E-02	-1.1315392929270738E+01
-8.0285145591739146E-02	-4.1303310732511106E-01	+3.5806352675766269E-02	-1.1535190726215792E+01
-7.8539816339744814E-02	-4.0063999709008058E-01	+3.4064886944947623E-02	-1.1761084008221022E+01
-7.6794487087750496E-02	-3.8824688685505043E-01	+3.2372719036864533E-02	-1.1993026795584674E+01
-7.5049157835756164E-02	-3.7585377662001945E-01	+3.0729842915967979E-02	-1.2230904585090366E+01
-7.3303828583761832E-02	-3.6346066638498892E-01	+2.9136253114901024E-02	-1.2474516368033125E+01
-7.1558499331767500E-02	-3.5106755614995855E-01	+2.7591944833516163E-02	-1.2723552408799900E+01
-6.9813170079773168E-02	-3.3867444591492779E-01	+2.6096914058353866E-02	-1.2977566817196724E+01
-6.8067840827778836E-02	-3.2628133567989737E-01	+2.4651157677406148E-02	-1.3235943721172506E+01
-6.6322511575784518E-02	-3.1388822544486705E-01	+2.3254673594134009E-02	-1.3497855567581277E+01
-6.4577182323790186E-02	-3.0149511520983652E-01	+2.1907460842895916E-02	-1.3762211758447780E+01
-6.2831853071795854E-02	-2.8910200497480587E-01	+2.0609519708385513E-02	-1.4027595454210285E+01
-6.1086523819801522E-02	-2.7670889473977517E-01	+1.9360851856093219E-02	-1.4292185942876774E+01
-5.9341194567807190E-02	-2.6431578450474469E-01	+1.8161460496318865E-02	-1.4553663487488723E+01
-5.7595865315812872E-02	-2.5192267426971438E-01	+1.7011350517518679E-02	-1.4809093141092982E+01
-5.5850536063818540E-02	-2.3952956403468395E-01	+1.5910528509404033E-02	-1.5054783622876403E+01
-5.4105206811824208E-02	-2.2713645379965319E-01	+1.4859002762686417E-02	-1.5286116937136118E+01
-5.2359877559829876E-02	-2.1474334356462269E-01	+1.3856783268692907E-02	-1.5497344470256634E+01
-5.0614548307835544E-02	-2.0235023332959221E-01	+1.2903881719001276E-02	-1.5681345949694085E+01
-4.8869219055841212E-02	-1.8995712309456159E-01	+1.2000311505094580E-02	-1.5829349347632991E+01
-4.7123889803846880E-02	-1.7756401285953119E-01	+1.1146087718035321E-02	-1.5930613265515348E+01
-4.5378560551852548E-02	-1.6517090262450060E-01	+1.0341227148159007E-02	-1.5972079547049217E+01
-4.3633231299858216E-02	-1.5277779238947009E-01	+9.5857482847872075E-03	-1.5938014211361233E+01
-4.1887902047863912E-02	-1.4038468215443972E-01	+8.8796713159600658E-03	-1.5809671006866701E+01
-4.0142572795869580E-02	-1.2799157191940932E-01	+8.2230181281881844E-03	-1.5565035845009174E+01
-3.8397243543875248E-02	-1.1559846168437868E-01	+7.6158123062240171E-03	-1.5178743518916024E+01
-3.6651914291880916E-02	-1.0320535144934817E-01	+7.0580791328525086E-03	-1.4622300133894637E+01
-3.4906585039886584E-02	-9.0812241214317704E-02	+6.5498455887012079E-03	-1.3864791159500477E+01
-3.3161255787892252E-02	-7.8419130979287155E-02	+6.0911403520697415E-03	-1.2874293883679874E+01
-3.1415926535897920E-02	-6.6026020744256661E-02	+5.6819937987785517E-03	-1.1620220486416258E+01
-2.9670597283903588E-02	-5.3632910509226028E-02	+5.3224380020370802E-03	-1.0076756270096309E+01
-2.7925268031909256E-02	-4.1239800274195541E-02	+5.0125067323312225E-03	-8.2273805256348620E+00
-2.6179938779914924E-02	-2.8846690039165002E-02	+4.7522354573301022E-03	-6.0701306360294751E+00
-2.4434609527920592E-02	-1.6453579804134467E-02	+4.5416613418121756E-03	-3.6228108099247440E+00
-2.2689280275926260E-02	-4.0604695691039468E-03	+4.3808232476106497E-03	-9.2687363529641886E-01
-2.0943951023931956E-02	+8.3326406659263962E-03	+4.2697617335782125E-03	+1.9515469915796324E+00
-1.9198621771937624E-02	+2.0725750900956897E-02	+4.2085190555710278E-03	+4.9247135696157018E+00
-1.7453292519943292E-02	+3.3118861135987471E-02	+4.1971391664520968E-03	+7.8908179649385630E+00
-1.5707963267948960E-02	+4.5511971371017972E-02	+4.2356677161138603E-03	+1.0744934310563503E+01
-1.3962634015954628E-02	+5.7905081606048500E-02	+4.3241520515201427E-03	+1.3391083596538225E+01
-1.2217304763960296E-02	+7.0298191841079063E-02	+4.4626412167674103E-03	+1.5752597716560498E+01
-1.0471975511965964E-02	+8.2691302076109557E-02	+4.6511859531652919E-03	+1.7778541410462267E+01
-8.7266462599716321E-03	+9.5084412311139996E-02	+4.8898386993364955E-03	+1.9445306513697897E+01
-6.9813170079773001E-03	+1.0747752254617066E-01	+5.1786535913359664E-03	+2.0753950935429160E+01
-5.2359877559829682E-03	+1.1987063278120123E-01	+5.5176864627894343E-03	+2.1724799622014281E+01
